DATE,M2NS
2019-07-01,14814.4
2019-08-01,14896.1
2019-09-01,14986.8
2019-10-01,15112.2
2019-11-01,15259.4
2019-12-01,15412.5
2020-01-01,15397.1
2020-02-01,15382.3
2020-03-01,16051.5
2020-04-01,17097.7
2020-05-01,17762.5
2020-06-01,18099.1
2020-07-01,18248.1
2020-08-01,18315.1
2020-09-01,18538.0
2020-10-01,18681.5
2020-11-01,18968.7
2020-12-01,19232.9
2021-01-01,19355.4
2021-02-01,19502.9
2021-03-01,19921.7
2021-04-01,20244.9
2021-05-01,20289.6
2021-06-01,20410.3
2021-07-01,20561.7
2021-08-01,20753.2
2021-09-01,20926.6
2021-10-01,21092.8
2021-11-01,21326.9
2021-12-01,21649.5
2022-01-01,21631.7
2022-02-01,21584.7
2022-03-01,21860.5
2022-04-01,21851.0
2022-05-01,21549.6
2022-06-01,21577.0
2022-07-01,21572.4
2022-08-01,21538.0
2022-09-01,21497.7
2022-10-01,21409.1
2022-11-01,21409.4
2022-12-01,21436.3
2023-01-01,21292.3
2023-02-01,21138.0
2023-03-01,21041.8
2023-04-01,20855.6
2023-05-01,20719.7
2023-06-01,20752.7
2023-07-01,20727.9
2023-08-01,20696.4
2023-09-01,20668.7
2023-10-01,20627.9
2023-11-01,20701.0
2023-12-01,20855.2
2024-01-01,20822.3
2024-02-01,20746.9
2024-03-01,20976.0
2024-04-01,20960.7
2024-05-01,20840.6
2024-06-01,20957.2
2024-07-01,20987.2
