GENESIS-Tabelle: 13231-0001
Unemployed persons, persons in employment, economically;;;;;;;;;;;;;
active population, unemployment rate: Germany, months,;;;;;;;;;;;;;
original and adjusted data;;;;;;;;;;;;;
Unemployment statistics based on the ILO concept;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;
;;Unadjusted values;Unadjusted values;Unadjusted values;Unadjusted values;Unadjusted values;Unadjusted values;Unadjusted values;Unadjusted values;X13 JDemetra+  trend;X13 JDemetra+  trend;X13 JDemetra+  trend;X13 JDemetra+  trend;X13 JDemetra+  trend;X13 JDemetra+  trend;X13 JDemetra+  trend;X13 JDemetra+  trend;BV4.1 trend;BV4.1 trend;BV4.1 trend;BV4.1 trend;BV4.1 trend;BV4.1 trend;BV4.1 trend;BV4.1 trend
;;Economically active population;Economically active population;Persons in employment;Persons in employment;Unemployed persons;Unemployed persons;Unemployment rate;Unemployment rate;Economically active population;Economically active population;Persons in employment;Persons in employment;Unemployed persons;Unemployed persons;Unemployment rate;Unemployment rate;Economically active population;Economically active population;Persons in employment;Persons in employment;Unemployed persons;Unemployed persons;Unemployment rate;Unemployment rate
;;Mill.;Mill.;Mill.;Mill.;Mill.;Mill.;percent;percent;Mill.;Mill.;Mill.;Mill.;Mill.;Mill.;percent;percent;Mill.;Mill.;Mill.;Mill.;Mill.;Mill.;percent;percent
1991;January;-;;-;;-;;-;;39.29;e;37.24;e;2.05;e;5.2;e;39.31;e;37.27;e;2.04;e;5.2;e
1991;February;-;;-;;-;;-;;39.29;e;37.23;e;2.06;e;5.2;e;39.30;e;37.24;e;2.06;e;5.2;e
1991;March;-;;-;;-;;-;;39.29;e;37.22;e;2.07;e;5.3;e;39.29;e;37.21;e;2.08;e;5.3;e
1991;April;-;;-;;-;;-;;39.28;e;37.20;e;2.08;e;5.3;e;39.28;e;37.18;e;2.10;e;5.3;e
1991;May;-;;-;;-;;-;;39.27;e;37.17;e;2.10;e;5.3;e;39.27;e;37.15;e;2.12;e;5.4;e
1991;June;-;;-;;-;;-;;39.26;e;37.13;e;2.13;e;5.4;e;39.26;e;37.12;e;2.14;e;5.5;e
1991;July;-;;-;;-;;-;;39.25;e;37.08;e;2.17;e;5.5;e;39.25;e;37.08;e;2.17;e;5.5;e
1991;August;-;;-;;-;;-;;39.24;e;37.03;e;2.21;e;5.6;e;39.23;e;37.03;e;2.20;e;5.6;e
1991;September;-;;-;;-;;-;;39.23;e;36.98;e;2.25;e;5.7;e;39.22;e;36.99;e;2.23;e;5.7;e
1991;October;-;;-;;-;;-;;39.22;e;36.93;e;2.29;e;5.8;e;39.20;e;36.94;e;2.26;e;5.8;e
1991;November;-;;-;;-;;-;;39.20;e;36.89;e;2.31;e;5.9;e;39.19;e;36.90;e;2.29;e;5.8;e
1991;December;-;;-;;-;;-;;39.18;e;36.84;e;2.34;e;6.0;e;39.18;e;36.85;e;2.33;e;5.9;e
1992;January;-;;-;;-;;-;;39.16;e;36.80;e;2.36;e;6.0;e;39.16;e;36.80;e;2.36;e;6.0;e
1992;February;-;;-;;-;;-;;39.13;e;36.75;e;2.38;e;6.1;e;39.15;e;36.75;e;2.40;e;6.1;e
1992;March;-;;-;;-;;-;;39.11;e;36.70;e;2.41;e;6.2;e;39.14;e;36.70;e;2.44;e;6.2;e
1992;April;-;;-;;-;;-;;39.11;e;36.66;e;2.45;e;6.3;e;39.13;e;36.66;e;2.47;e;6.3;e
1992;May;-;;-;;-;;-;;39.11;e;36.61;e;2.50;e;6.4;e;39.12;e;36.61;e;2.51;e;6.4;e
1992;June;-;;-;;-;;-;;39.12;e;36.57;e;2.55;e;6.5;e;39.12;e;36.57;e;2.55;e;6.5;e
1992;July;-;;-;;-;;-;;39.13;e;36.53;e;2.60;e;6.6;e;39.12;e;36.53;e;2.59;e;6.6;e
1992;August;-;;-;;-;;-;;39.13;e;36.49;e;2.64;e;6.8;e;39.12;e;36.49;e;2.63;e;6.7;e
1992;September;-;;-;;-;;-;;39.15;e;36.46;e;2.69;e;6.9;e;39.14;e;36.46;e;2.68;e;6.8;e
1992;October;-;;-;;-;;-;;39.16;e;36.43;e;2.73;e;7.0;e;39.15;e;36.43;e;2.72;e;6.9;e
1992;November;-;;-;;-;;-;;39.17;e;36.40;e;2.77;e;7.1;e;39.15;e;36.39;e;2.76;e;7.1;e
1992;December;-;;-;;-;;-;;39.18;e;36.37;e;2.81;e;7.2;e;39.16;e;36.36;e;2.80;e;7.2;e
1993;January;-;;-;;-;;-;;39.18;e;36.34;e;2.84;e;7.3;e;39.17;e;36.33;e;2.84;e;7.3;e
1993;February;-;;-;;-;;-;;39.19;e;36.31;e;2.88;e;7.4;e;39.18;e;36.30;e;2.88;e;7.4;e
1993;March;-;;-;;-;;-;;39.19;e;36.27;e;2.92;e;7.5;e;39.19;e;36.27;e;2.92;e;7.5;e
1993;April;-;;-;;-;;-;;39.20;e;36.24;e;2.96;e;7.5;e;39.20;e;36.24;e;2.96;e;7.6;e
1993;May;-;;-;;-;;-;;39.21;e;36.21;e;3.00;e;7.6;e;39.21;e;36.21;e;3.00;e;7.7;e
1993;June;-;;-;;-;;-;;39.22;e;36.18;e;3.04;e;7.7;e;39.22;e;36.18;e;3.04;e;7.7;e
1993;July;-;;-;;-;;-;;39.22;e;36.15;e;3.07;e;7.8;e;39.23;e;36.15;e;3.08;e;7.8;e
